lemma	sourceScope
comparative	cet4
compare	cet4
comparison	cet4
compass	cet4
compatibility	cet4
compatible	cet4
compel	cet4
compelling	cet4
compensate	cet4
compensation	cet4
compensatory	cet4
compete	cet4
competence	cet4
competent	cet4
competition	cet4
competitive	cet4
competitor	cet4
complain	cet4
complaint	cet4
complete	cet4
completion	cet4
complex	cet4
complexity	cet4
compliance	cet4
complicate	cet4
complicated	cet4
complication	cet4
comply	cet4
component	cet4
compose	cet4
composer	cet4
composition	cet4
compound	cet4
comprehend	cet4
comprehension	cet4
comprehensive	cet4
comprise	cet4
compromise	cet4
compulsory	cet4
computation	cet4
compute	cet4
computer	cet4
computerize	cet4
comrade	cet4
conceal	cet4
concealment	cet4
concentrate	cet4
concentration	cet4
concept	cet4
conceptual	cet4
concern	cet4
concerned	cet4
concerning	cet4
concert	cet4
concerted	cet4
conclude	cet4
conclusion	cet4
conclusive	cet4
concrete	cet4
condemn	cet4
condemnation	cet4
condensation	cet4
condense	cet4
condition	cet4
conditional	cet4
conditioner	cet4
conduct	cet4
conductor	cet4
conference	cet4
confess	cet4
confession	cet4
confidence	cet4
confident	cet4
confidential	cet4
confine	cet4
confinement	cet4
confirm	cet4
confirmation	cet4
conflict	cet4
conform	cet4
conformity	cet4
confront	cet4
confrontation	cet4
confucian	cet4
confucianism	cet4
confuse	cet4
confusion	cet4
congratulate	cet4
congratulation	cet4
congratulatory	cet4
congress	cet4
congressional	cet4
conjunction	cet4
connect	cet4
connection	cet4
conquer	cet4
conqueror	cet4
conquest	cet4
conscience	cet4
conscientious	cet4
conscious	cet4
consciousness	cet4
consensus	cet4
consent	cet4
consequence	cet4
consequent	cet4
consequently	cet4
conservative	cet4
consider	cet4
considerable	cet4
considerate	cet4
consideration	cet4
considering	cet4
consist	cet4
consistency	cet4
consistent	cet4
consolidate	cet4
consolidation	cet4
constant	cet4
constitute	cet4
constitution	cet4
constitutional	cet4
construct	cet4
construction	cet4
consult	cet4
consultant	cet4
consultation	cet4
consultative	cet4
consume	cet4
consumer	cet4
consumption	cet4
contact	cet4
contain	cet4
container	cet4
containment	cet4
contaminate	cet4
contamination	cet4
contemporary	cet4
contempt	cet4
contemptible	cet4
contend	cet4
content	cet4
contented	cet4
contention	cet4
contentious	cet4
contest	cet4
contestant	cet4
context	cet4
contextual	cet4
continent	cet4
continental	cet4
continual	cet4
continuation	cet4
continue	cet4
continuity	cet4
continuous	cet4
contract	cet4
contraction	cet4
contractor	cet4
contradict	cet4
contradiction	cet4
contradictory	cet4
contrary	cet4
contrast	cet4
contribute	cet4
contribution	cet4
contributor	cet4
control	cet4
controversial	cet4
controversy	cet4
convenience	cet4
convenient	cet4
convention	cet4
conventional	cet4
conversation	cet4
converse	cet4
conversion	cet4
convert	cet4
convertible	cet4
convey	cet4
conveyance	cet4
convince	cet4
convincing	cet4
cook	cet4
cooker	cet4
cookie	cet4
cool	cet4
cooperate	cet4
cooperation	cet4
cooperative	cet4
coordinate	cet4
coordination	cet4
coordinator	cet4
cop	cet4
cope	cet4
copper	cet4
copy	cet4
copyright	cet4
cord	cet4
core	cet4
corn	cet4
corner	cet4
cornerstone	cet4
corporate	cet4
corporation	cet4
corps	cet4
correct	cet4
correction	cet4
corrective	cet4
correspond	cet4
correspondence	cet4
correspondent	cet4
corresponding	cet4
corridor	cet4
corrupt	cet4
corruption	cet4
cosmic	cet4
cosmos	cet4
cost	cet4
costly	cet4
costume	cet4
cottage	cet4
cotton	cet4
couch	cet4
cough	cet4
could	cet4
council	cet4
councilor	cet4
counsel	cet4
counselor	cet4
count	cet4
countdown	cet4
counter	cet4
counterpart	cet4
country	cet4
countryside	cet4
county	cet4
couple	cet4
coupon	cet4
courage	cet4
courageous	cet4
course	cet4
court	cet4
courtyard	cet4
cousin	cet4
cover	cet4
coverage	cet4
cow	cet4
coward	cet4
cowardice	cet4
cowardly	cet4
cowboy	cet4
crab	cet4
crack	cet4
cracker	cet4
craft	cet4
crane	cet4
crash	cet4
crawl	cet4
craze	cet4
crazy	cet4
cream	cet4
creamy	cet4
create	cet4
creation	cet4
creative	cet4
creator	cet4
creature	cet4
credit	cet4
creditable	cet4
creep	cet4
crew	cet4
crime	cet4
criminal	cet4
crisis	cet4
criterion	cet4
critic	cet4
critical	cet4
criticism	cet4
criticize	cet4
crocodile	cet4
crop	cet4
cross	cet4
crossing	cet4
crowd	cet4
crowded	cet4
crown	cet4
crucial	cet4
cruel	cet4
cruelty	cet4
cruise	cet4
cruiser	cet4
crush	cet4
cry	cet4
crystal	cet4
cube	cet4
cubic	cet4
cucumber	cet4
cue	cet4
cultivate	cet4
cultivation	cet4
cultural	cet4
culture	cet4
cup	cet4
cupboard	cet4
curable	cet4
curb	cet4
cure	cet4
curiosity	cet4
curious	cet4
curl	cet4
currency	cet4
current	cet4
currently	cet4
curriculum	cet4
curse	cet4
curtain	cet4
curve	cet4
cushion	cet4
custom	cet4
customary	cet4
customer	cet4
customs	cet4
cut	cet4
cute	cet4
cyberspace	cet4
cycle	cet4
cycling	cet4
cyclist	cet4
dad	cet4
daily	cet4
dairy	cet4
dam	cet4
damage	cet4
damn	cet4
damp	cet4
dampen	cet4
dance	cet4
danger	cet4
dangerous	cet4
dare	cet4
daring	cet4
dark	cet4
darken	cet4
darkness	cet4
darling	cet4
dash	cet4
data	cet4
database	cet4
date	cet4
dating	cet4
datum	cet4
daughter	cet4
dawn	cet4
day	cet4
daylight	cet4
dead	cet4
deadline	cet4
deadly	cet4
deaf	cet4
deal	cet4
dealer	cet4
dealing	cet4
dean	cet4
dear	cet4
death	cet4
debate	cet4
debt	cet4
debtor	cet4
decade	cet4
decay	cet4
deceit	cet4
deceive	cet4
december	cet4
decent	cet4
deception	cet4
deceptive	cet4
decide	cet4
decision	cet4
decisive	cet4
deck	cet4
declaration	cet4
declarative	cet4
declare	cet4
decline	cet4
decorate	cet4
decoration	cet4
decorative	cet4
decrease	cet4
deed	cet4
deem	cet4
deep	cet4
deeply	cet4
deer	cet4
defeat	cet4
defect	cet4
defection	cet4
defective	cet4
defend	cet4
defendant	cet4
defense	cet4
defensive	cet4
defiance	cet4
defiant	cet4
deficiency	cet4
deficient	cet4
deficit	cet4
define	cet4
definite	cet4
definitely	cet4
definition	cet4
defy	cet4
degree	cet4
delay	cet4
delegate	cet4
delegation	cet4
delete	cet4
deletion	cet4
deliberate	cet4
deliberation	cet4
delicate	cet4
delicious	cet4
delight	cet4
delightful	cet4
deliver	cet4
delivery	cet4
demand	cet4
demanding	cet4
demo	cet4
democracy	cet4
democrat	cet4
democratic	cet4
demonstrate	cet4
demonstration	cet4
demonstrative	cet4
denial	cet4
dense	cet4
density	cet4
dent	cet4
dental	cet4
dentist	cet4
deny	cet4
depart	cet4
department	cet4
departure	cet4
depend	cet4
dependable	cet4
dependence	cet4
dependent	cet4
deposit	cet4
depress	cet4
depression	cet4
deprivation	cet4
deprive	cet4
depth	cet4
deputy	cet4
derivation	cet4
derivative	cet4
derive	cet4
descend	cet4
descendant	cet4
descent	cet4
describe	cet4
description	cet4
descriptive	cet4
desert	cet4
desertion	cet4
deserve	cet4
design	cet4
designer	cet4
desirability	cet4
desirable	cet4
desire	cet4
desirous	cet4
desk	cet4
desktop	cet4
despair	cet4
despatch	cet4
desperate	cet4
despite	cet4
dessert	cet4
destination	cet4
destroy	cet4
destruction	cet4
destructive	cet4
detail	cet4
detailed	cet4
detect	cet4
detection	cet4
detective	cet4
deteriorate	cet4
deterioration	cet4
determination	cet4
determine	cet4
determined	cet4
develop	cet4
developer	cet4
development	cet4
developmental	cet4
device	cet4
devil	cet4
devise	cet4
devote	cet4
devotion	cet4
dew	cet4
diabetes	cet4
diagnose	cet4
diagnosis	cet4
diagram	cet4
dial	cet4
dialect	cet4
dialog	cet4
diameter	cet4
diamond	cet4
diary	cet4
dictate	cet4
dictation	cet4
dictator	cet4
dictionary	cet4
die	cet4
diet	cet4
dietary	cet4
differ	cet4
difference	cet4
different	cet4
difficult	cet4
difficulty	cet4
dig	cet4
digest	cet4
digestion	cet4
digestive	cet4
digit	cet4
digital	cet4
dignify	cet4
dignity	cet4
dilemma	cet4
diligence	cet4
diligent	cet4
dim	cet4
dime	cet4
dimension	cet4
dimensional	cet4
dine	cet4
diner	cet4
dinner	cet4
dioxide	cet4
dip	cet4
diploma	cet4
diplomacy	cet4
diplomat	cet4
diplomatic	cet4
direct	cet4
direction	cet4
director	cet4
dirt	cet4
dirty	cet4
disability	cet4
disable	cet4
disabled	cet4
disagree	cet4
disagreement	cet4
disappear	cet4
disappearance	cet4
disappoint	cet4
disappointing	cet4
disappointment	cet4
disapproval	cet4
disapprove	cet4
disaster	cet4
disastrous	cet4
disc	cet4
discard	cet4
discharge	cet4
disciplinary	cet4
discipline	cet4
disciplined	cet4
disco	cet4
discount	cet4
discourage	cet4
discover	cet4
discovery	cet4
discriminate	cet4
discrimination	cet4
discriminatory	cet4
discuss	cet4
discussion	cet4
disease	cet4
disguise	cet4
disgust	cet4
disgusting	cet4
dish	cet4
disintegrate	cet4
disintegration	cet4
disk	cet4
dislike	cet4
dismiss	cet4
dismissal	cet4
disorder	cet4
display	cet4
disposal	cet4
dispose	cet4
disputable	cet4
dispute	cet4
disrupt	cet4
disruption	cet4
disruptive	cet4
dissolve	cet4
distance	cet4
distant	cet4
distinct	cet4
distinction	cet4
distinctive	cet4
distinguish	cet4
distinguishable	cet4
distract	cet4
distraction	cet4
distress	cet4
distressful	cet4
distribute	cet4
distribution	cet4
distributive	cet4
district	cet4
disturb	cet4
disturbance	cet4
ditch	cet4
dive	cet4
diverse	cet4
